Date_clean,Month,Year,Type,Country,Activity,Sex,Age,Injury,Fatal,Species,nombre,name,nom,iso2,iso3,phone_code
1938-08-18,8,1938,Provoked,United States of America,fishing,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2038-07-18,7,2038,Unprovoked,United States of America,swimming,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2038-07-17,7,2038,Provoked,United States of America,fishing,M,27.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2038-06-08,6,2038,Unprovoked,Australia,diving,M,,no injury,N,,Australia,Australia,Australie,AU,AUS,61
2038-05-15,5,2038,Unprovoked,Iraq,swimming,M,9.0,injury,N,bull,Irak,Iraq,Irak,IQ,IRQ,964
1938-03-21,3,1938,Unprovoked,Fiji,walking,M,,injury,N,,Fiyi,Fiji,Fidji,FJ,FJI,679
1938-01-14,1,1938,Invalid,Australia,diving,M,24.0,injury,,,Australia,Australia,Australie,AU,AUS,61
1938-01-01,1,1938,Unprovoked,Australia,diving,M,17.0,injury,N,,Australia,Australia,Australie,AU,AUS,61
1938-01-01,1,1938,Unprovoked,South Africa,swimming,M,,injury,N,,Sudáfrica,South Africa,Afrique du Sud,ZA,ZAF,27
1937-08-31,8,1937,Unprovoked,Australia,diving,M,38.0,injury,N,tiger,Australia,Australia,Australie,AU,AUS,61
1937-08-02,8,1937,Unprovoked,Panama,swimming,M,21.0,fatal,Y,,Panamá,Panama,Panama,PA,PAN,507
1937-07-16,7,1937,Unprovoked,Australia,diving,M,,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
1937-06-15,6,1937,Unprovoked,United States of America,swimming,M,14.0,fatal,Y,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2037-05-30,5,2037,Provoked,United States of America,fishing,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2037-05-15,5,2037,Unprovoked,Australia,swimming,M,33.0,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
2037-03-26,3,2037,Invalid,Australia,swimming,M,16.0,injury,,,Australia,Australia,Australie,AU,AUS,61
2037-02-11,2,2037,Unprovoked,Australia,swimming,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
2037-02-04,2,2037,Boating,Australia,fishing,,,no injury,N,,Australia,Australia,Australie,AU,AUS,61
2037-02-03,2,2037,Provoked,Australia,fishing,M,20.0,injury,N,blue,Australia,Australia,Australie,AU,AUS,61
1936-12-12,12,1936,Unprovoked,Australia,swimming,M,15.0,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
1936-12-01,12,1936,Boating,Australia,fishing,M,50.0,fatal,Y,white,Australia,Australia,Australie,AU,AUS,61
1936-08-11,8,1936,Provoked,Canada,fishing,,,no injury,N,,Canadá,Canada,Canada,CA,CAN,1
1936-08-04,8,1936,Unprovoked,Australia,diving,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
2036-07-12,7,2036,Boating,United States of America,fishing,,,no injury,N,blue,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2036-07-07,7,2036,Unprovoked,Australia,diving,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
1936-04-22,4,1936,Unprovoked,Australia,diving,M,16.0,injury,N,tiger,Australia,Australia,Australie,AU,AUS,61
2036-03-30,3,2036,Provoked,United States of America,fishing,M,,no injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1936-01-01,1,1936,Provoked,Australia,surf,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
1935-09-04,9,1935,Unprovoked,Papua New Guinea,swimming,M,,fatal,Y,,Papúa Nueva Guinea,Papua New Guinea,Papouasie-Nouvelle-Guinée,PG,PNG,675
1935-08-24,8,1935,Invalid,United Kingdom,fishing,M,,injury,,,Reino Unido,United Kingdom,Royaume-Uni,GB,GBR,44
2035-07-05,7,2035,Unprovoked,Panama,fishing,M,14.0,fatal,Y,,Panamá,Panama,Panama,PA,PAN,507
2035-07-01,7,2035,Unprovoked,Croatia,swimming,F,22.0,fatal,Y,,Croacia,Croatia,Croatie,HR,HRV,385
2035-06-18,6,2035,Unprovoked,United States of America,fishing,M,31.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1935-06-05,6,1935,Unprovoked,Solomon Islands,fishing,M,,fatal,Y,,Islas Salomón,Solomon Islands,Iles Salomon,SB,SLB,677
2035-05-12,5,2035,Unprovoked,Australia,diving,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
2035-03-11,3,2035,Unprovoked,Australia,surf,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
2035-02-14,2,2035,Unprovoked,Australia,surf,M,20.0,injury,N,,Australia,Australia,Australie,AU,AUS,61
1935-01-24,1,1935,Unprovoked,Australia,fishing,M,,no injury,N,tiger,Australia,Australia,Australie,AU,AUS,61
1935-01-24,1,1935,Boating,Australia,fishing,,,no injury,N,,Australia,Australia,Australie,AU,AUS,61
2034-10-22,10,2034,Unprovoked,Australia,diving,M,,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
1934-08-05,8,1934,Unprovoked,United States of America,swimming,M,11.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2034-07-11,7,2034,Boating,Australia,fishing,,,no injury,N,blue,Australia,Australia,Australie,AU,AUS,61
1934-06-21,6,1934,Provoked,Australia,fishing,M,,injury,N,blue,Australia,Australia,Australie,AU,AUS,61
2034-06-20,6,2034,Unprovoked,United States of America,standing,M,8.0,fatal,Y,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1934-04-15,4,1934,Unprovoked,Australia,surf,M,34.0,injury,N,,Australia,Australia,Australie,AU,AUS,61
1934-04-01,4,1934,Unprovoked,South Africa,swimming,M,12.0,injury,N,,Sudáfrica,South Africa,Afrique du Sud,ZA,ZAF,27
1934-04-01,4,1934,Unprovoked,Australia,swimming,M,15.0,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
2034-02-24,2,2034,Unprovoked,Australia,swimming,M,,injury,N,tiger,Australia,Australia,Australie,AU,AUS,61
2034-02-22,2,2034,Unprovoked,Chile,boating,M,,fatal,Y,,Chile,Chile,Chili,CL,CHL,56
1934-02-08,2,1934,Boating,Turkey,fishing,M,,no injury,N,,Turquía,Turkey,Turquie,TR,TUR,90
2033-11-20,11,2033,Unprovoked,Australia,diving,M,,fatal,Y,tiger,Australia,Australia,Australie,AU,AUS,61
2033-11-18,11,2033,Unprovoked,Australia,diving,M,17.0,injury,N,tiger,Australia,Australia,Australie,AU,AUS,61
1933-10-25,10,1933,Unprovoked,Australia,diving,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
1933-09-27,9,1933,Boating,Israel,fishing,M,,injury,N,,Israel,Israel,Israël,IL,ISR,972
1933-08-28,8,1933,Provoked,United States of America,fishing,M,,injury,N,blue,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1933-08-26,8,1933,Unprovoked,United States of America,swimming,F,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2033-06-13,6,2033,Invalid,Australia,fishing,M,,no injury,,,Australia,Australia,Australie,AU,AUS,61
2033-05-23,5,2033,Provoked,Australia,fishing,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
1933-06-08,6,1933,Unprovoked,Australia,walking,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
2033-05-03,5,2033,Sea Disaster,Cuba,swimming,M,,fatal,Y,,Cuba,Cuba,Cuba,CU,CUB,53
1933-04-10,4,1933,Unprovoked,United States of America,swimming,M,24.0,fatal,Y,bull,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2033-02-26,2,2033,Unprovoked,Australia,standing,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
2033-02-12,2,2033,Provoked,Australia,fishing,M,,injury,N,blue,Australia,Australia,Australie,AU,AUS,61
1932-12-09,12,1932,Provoked,New Zealand,fishing,M,,injury,N,,Nueva Zelanda,New Zealand,Nouvelle-Zélande,NZ,NZL,64
2032-10-11,10,2032,Unprovoked,Cape Verde,swimming,M,27.0,fatal,Y,,Cabo Verde,Cape Verde,Cap-Vert,CV,CPV,238
1932-08-06,8,1932,Provoked,Bahamas,standing,M,18.0,no injury,N,,Bahamas,Bahamas,Bahamas,BS,BHS,1 242
2032-07-02,7,2032,Boating,Canada,fishing,M,,no injury,N,white,Canadá,Canada,Canada,CA,CAN,1
2032-06-28,6,2032,Provoked,United States of America,fishing,M,32.0,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2032-06-26,6,2032,Provoked,United States of America,fishing,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2032-06-20,6,2032,Unprovoked,Fiji,diving,F,,fatal,Y,,Fiyi,Fiji,Fidji,FJ,FJI,679
2032-05-12,5,2032,Unprovoked,Australia,diving,M,,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
1932-04-16,4,1932,Unprovoked,Philippines,standing,M,,fatal,Y,,Filipinas,Philippines,Philippines,PH,PHL,63
1932-04-16,4,1932,Unprovoked,Philippines,standing,F,,fatal,Y,,Filipinas,Philippines,Philippines,PH,PHL,63
2032-02-13,2,2032,Unprovoked,Australia,fishing,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
1932-01-27,1,1932,Unprovoked,Australia,swimming,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
1932-01-11,1,1932,Boating,Australia,fishing,,,injury,UNKNOWN,nurse,Australia,Australia,Australie,AU,AUS,61
1932-01-06,1,1932,Provoked,Mexico,fishing,M,36.0,injury,Y,,México,Mexico,Mexique,MX,MEX,52
2031-09-27,9,2031,Unprovoked,Jamaica,diving,M,,fatal,Y,,Jamaica,Jamaica,Jamaïque,JM,JAM,1 876
2031-09-21,9,2031,Unprovoked,United States of America,swimming,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1931-08-31,8,1931,Unprovoked,Cuba,swimming,M,18.0,fatal,Y,,Cuba,Cuba,Cuba,CU,CUB,53
1931-08-18,8,1931,Unprovoked,United States of America,swimming,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1931-08-06,8,1931,Unprovoked,United States of America,swimming,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1931-08-01,8,1931,Unprovoked,Australia,boating,M,,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
1931-07-28,7,1931,Unprovoked,Fiji,swimming,M,,injury,N,,Fiyi,Fiji,Fidji,FJ,FJI,679
2031-07-15,7,2031,Unprovoked,United States of America,swimming,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2031-06-14,6,2031,Unprovoked,United States of America,fishing,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2031-02-10,2,2031,Invalid,Australia,swimming,M,39.0,injury,,,Australia,Australia,Australie,AU,AUS,61
